english,phonetic,vietnamese
ankle,/ˈæŋkl/,'mắt cá chân'
anniversary,/ˌænɪˈvɜːsəri/,'lễ kỷ niệm'
annoy,/əˈnɔɪ/,'làm phiền'
annual,/ˈænjuəl/,'hàng năm'
another,/əˈnʌðər/,'khác'
anxious,/ˈæŋkʃəs/,'lo lắng'
any,/ˈeni/,'bất kỳ'
anybody,/ˈenibɒdi/,'bất cứ ai'
anyone,/ˈeniwʌn/,'bất cứ ai'
anything,/ˈeniθɪŋ/,'bất cứ điều gì'
anyway,/ˈeniweɪ/,'dù sao đi nữa'
anywhere,/ˈeniweər/,'bất cứ đâu'
apartment,/əˈpɑːtmənt/,'căn hộ'
apologize,/əˈpɒlədʒaɪz/,'xin lỗi'
appear,/əˈpɪər/,'xuất hiện'
appoint,/əˈpɔɪnt/,'bổ nhiệm'
approach,/əˈprəʊtʃ/,'tiếp cận'
appropriate,/əˈprəʊpriət/,'thích hợp'
approval,/əˈpruːvl/,'sự chấp thuận'
approximate,/əˈprɒksɪmət/,'xấp xỉ'
april,/ˈeɪprəl/,'tháng Tư'
argue,/ˈɑːɡjuː/,'tranh cãi'
armed,/ɑːmd/,'được vũ trang'
army,/ˈɑːmi/,'quân đội'
around,/əˈraʊnd/,'xung quanh'
arrange,/əˈreɪndʒ/,'sắp xếp'
arrest,/əˈrest/,'bắt giữ'
arrival,/əˈraɪvl/,'sự đến nơi'
arrive,/əˈraɪv/,'đến nơi'
arrow,/ˈærəʊ/,'mũi tên'
art,/ɑːt/,'nghệ thuật'
artificial,/ˌɑːtɪˈfɪʃl/,'nhân tạo'
artist,/ˈɑːtɪst/,'nghệ sĩ'
artistic,/ɑːˈtɪstɪk/,'thuộc nghệ thuật'
ashamed,/əˈʃeɪmd/,'xấu hổ'
aside,/əˈsaɪd/,'về một bên'
asleep,/əˈsliːp/,'ngủ'
aspect,/ˈæspekt/,'khía cạnh'
assistance,/əˈsɪstəns/,'sự giúp đỡ'
assistant,/əˈsɪstənt/,'trợ lý'
assure,/əˈʃʊər/,'đảm bảo'
atmosphere,/ˈætməsfɪər/,'bầu không khí'
atom,/ˈætəm/,'nguyên tử'
attack,/əˈtæk/,'tấn công'
attention,/əˈtenʃn/,'sự chú ý'
attitude,/ˈætɪtjuːd/,'thái độ'
attorney,/əˈtɜːni/,'luật sư'
attract,/əˈtrækt/,'thu hút'
attraction,/əˈtrækʃn/,'sự thu hút'
audience,/ˈɔːdiəns/,'khán giả'
august,/ˈɔːɡəst/,'tháng Tám'
author,/ˈɔːθər/,'tác giả'
automatic,/ˌɔːtəˈmætɪk/,'tự động'
autumn,/ˈɔːtəm/,'mùa thu'
average,/ˈævərɪdʒ/,'trung bình'
avoid,/əˈvɔɪd/,'tránh'
awake,/əˈweɪk/,'thức giấc'
award,/əˈwɔːd/,'phần thưởng'
aware,/əˈweər/,'nhận thức'
awful,/ˈɔːfl/,'kinh khủng'
baby,/ˈbeɪbi/,'em bé'
bacteria,/bækˈtɪəriə/,'vi khuẩn'
badly,/ˈbædli/,'một cách tồi tệ'
baggage,/ˈbæɡɪdʒ/,'hành lý'
bake,/beɪk/,'nướng (bằng lò)'
ball,/bɔːl/,'quả bóng'
ban,/bæn/,'cấm'
bandage,/ˈbændɪdʒ/,'băng (y tế)'
barrier,/ˈbæriər/,'rào cản'
baseball,/ˈbeɪsbɔːl/,'bóng chày'
basic,/ˈbeɪsɪk/,'cơ bản'
basis,/ˈbeɪsɪs/,'nền tảng'
basket,/ˈbɑːskɪt/,'cái rổ'
basketball,/ˈbɑːskɪtbɔːl/,'bóng rổ'
bathroom,/ˈbɑːθruːm/,'phòng tắm'
battery,/ˈbætəri/,'pin'
battle,/ˈbætl/,'trận chiến'
bay,/beɪ/,'vịnh'
beach,/biːtʃ/,'bãi biển'
beak,/biːk/,'mỏ chim'
beard,/bɪəd/,'râu'
beautiful,/ˈbjuːtɪfl/,'đẹp'
beauty,/ˈbjuːti/,'vẻ đẹp'
because,/bɪˈkɒz/,'bởi vì'
bed,/bed/,'cái giường'
bedroom,/ˈbedruːm/,'phòng ngủ'
bee,/biː/,'con ong'
beef,/biːf/,'thịt bò'
beer,/bɪər/,'bia'
before,/bɪˈfɔːr/,'trước khi'
beg,/beɡ/,'van xin'
begin,/bɪˈɡɪn/,'bắt đầu'
beginning,/bɪˈɡɪnɪŋ/,'sự bắt đầu'
behalf,/bɪˈhɑːf/,'thay mặt'
behave,/bɪˈheɪv/,'cư xử'
behaviour,/bɪˈheɪvjər/,'hành vi'
behind,/bɪˈhaɪnd/,'phía sau'
belief,/bɪˈliːf/,'niềm tin'
believe,/bɪˈliːv/,'tin tưởng'
bell,/bel/,'cái chuông'
belong,/bɪˈlɒŋ/,'thuộc về'
below,/bɪˈləʊ/,'bên dưới'
belt,/belt/,'thắt lưng'
beneath,/bɪˈniːθ/,'ở dưới'
beside,/bɪˈsaɪd/,'bên cạnh'
best,/best/,'tốt nhất'
bet,/bet/,'cá cược'
better,/ˈbetər/,'tốt hơn'
between,/bɪˈtwiːn/,'ở giữa'
beyond,/bɪˈjɒnd/,'vượt ra ngoài'
bicycle,/ˈbaɪsɪkl/,'xe đạp'
bike,/baɪk/,'xe đạp'
billion,/ˈbɪljən/,'một tỷ'
bin,/bɪn/,'thùng rác'
biology,/baɪˈɒlədʒi/,'sinh học'
bird,/bɜːd/,'con chim'
birth,/bɜːθ/,'sự ra đời'
birthday,/ˈbɜːθdeɪ/,'sinh nhật'
biscuit,/ˈbɪskɪt/,'bánh quy'
bite,/baɪt/,'cắn'
bitter,/ˈbɪtər/,'đắng'
black,/blæk/,'màu đen'
blade,/bleɪd/,'lưỡi dao'
blind,/blaɪnd/,'mù'
blonde,/blɒnd/,'tóc vàng hoe'
blood,/blʌd/,'máu'
blow,/bləʊ/,'thổi'
blue,/bluː/,'màu xanh da trời'
boat,/bəʊt/,'thuyền'
body,/ˈbɒdi/,'cơ thể'
bomb,/bɒm/,'quả bom'
bone,/bəʊn/,'xương'
boot,/buːt/,'giày ống'
border,/ˈbɔːdər/,'biên giới'
bore,/bɔːr/,'làm buồn chán'
boring,/ˈbɔːrɪŋ/,'nhàm chán'
born,/bɔːn/,'sinh ra'
boss,/bɒs/,'ông chủ'
both,/bəʊθ/,'cả hai'
bother,/ˈbɒðər/,'làm phiền'
bottom,/ˈbɒtəm/,'đáy'
bowl,/bəʊl/,'cái bát'
box,/bɒks/,'cái hộp'
boy,/bɔɪ/,'cậu bé'
boyfriend,/ˈbɔɪfrend/,'bạn trai'
brain,/breɪn/,'não'
brand,/brænd/,'nhãn hiệu'
brave,/breɪv/,'dũng cảm'
bread,/bred/,'bánh mì'
breakfast,/ˈbrekfəst/,'bữa sáng'
breast,/brest/,'ngực'
breath,/breθ/,'hơi thở'
breathe,/briːð/,'thở'
breathing,/ˈbriːðɪŋ/,'sự thở'
bride,/braɪd/,'cô dâu'
bridge,/brɪdʒ/,'cây cầu'
brief,/briːf/,'ngắn gọn'
bring,/brɪŋ/,'mang lại'
broad,/brɔːd/,'rộng'
broadcast,/ˈbrɔːdkɑːst/,'phát sóng'
broken,/ˈbrəʊkən/,'bị vỡ'
brother,/ˈbrʌðər/,'anh/em trai'
brown,/braʊn/,'màu nâu'
bubble,/ˈbʌbl/,'bong bóng'
build,/bɪld/,'xây dựng'
building,/ˈbɪldɪŋ/,'tòa nhà'
bullet,/ˈbʊlɪt/,'viên đạn'
bury,/ˈberi/,'chôn cất'
bus,/bʌs/,'xe buýt'
bush,/bʊʃ/,'bụi cây'
businessman,/ˈbɪznəsmən/,'doanh nhân'
busy,/ˈbɪzi/,'bận rộn'
but,/bʌt/,'nhưng'
butter,/ˈbʌtər/,'bơ'
buy,/baɪ/,'mua'
buyer,/ˈbaɪər/,'người mua'
bye,/baɪ/,'tạm biệt'
cable,/ˈkeɪbl/,'dây cáp'
cake,/keɪk/,'bánh ngọt'
calculate,/ˈkælkjuleɪt/,'tính toán'
calculation,/ˌkælkjuˈleɪʃn/,'sự tính toán'
calm,/kɑːm/,'bình tĩnh'
camera,/ˈkæmərə/,'máy ảnh'
campaign,/kæmˈpeɪn/,'chiến dịch'
cancel,/ˈkænsəl/,'hủy bỏ'
cancer,/ˈkænsər/,'ung thư'
candidate,/ˈkændɪdət/,'ứng cử viên'
candy,/ˈkændi/,'kẹo'
cannot,/ˈkænɒt/,'không thể'
cap,/kæp/,'mũ lưỡi trai'
capable,/ˈkeɪpəbl/,'có khả năng'
car,/kɑːr/,'xe hơi'
careful,/ˈkeəfl/,'cẩn thận'
carefully,/ˈkeəfəli/,'một cách cẩn thận'
carpet,/ˈkɑːpɪt/,'tấm thảm'
carrot,/ˈkærət/,'cà rốt'
cartoon,/kɑːˈtuːn/,'phim hoạt hình'
cash,/kæʃ/,'tiền mặt'
castle,/ˈkɑːsl/,'lâu đài'
cat,/kæt/,'con mèo'
cd,/ˌsiː ˈdiː/,'đĩa CD'
ceiling,/ˈsiːlɪŋ/,'trần nhà'
celebration,/ˌselɪˈbreɪʃn/,'lễ kỷ niệm'
cell phone,/ˈsel fəʊn/,'điện thoại di động'
cent,/sent/,'xu (tiền)'
centimetre,/ˈsentɪmiːtər/,'centimet'
central,/ˈsentrəl/,'trung tâm'
centre,/ˈsentər/,'trung tâm'
century,/ˈsentʃəri/,'thế kỷ'
ceremony,/ˈserəməni/,'nghi lễ'
certain,/ˈsɜːtn/,'chắc chắn'
certainly,/ˈsɜːtnli/,'chắc chắn'
certificate,/səˈtɪfɪkət/,'giấy chứng nhận'
chair,/tʃeər/,'cái ghế'
chairman,/ˈtʃeəmən/,'chủ tịch (nam)'
challenge,/ˈtʃælɪndʒ/,'thử thách'
chance,/tʃɑːns/,'cơ hội'
channel,/ˈtʃænl/,'kênh'
chapter,/ˈtʃæptər/,'chương (sách)'
characteristic,/ˌkærəktəˈrɪstɪk/,'đặc điểm'
charity,/ˈtʃærəti/,'từ thiện'
chart,/tʃɑːt/,'biểu đồ'
chase,/tʃeɪs/,'đuổi theo'
chat,/tʃæt/,'trò chuyện'
cheap,/tʃiːp/,'rẻ'
cheat,/tʃiːt/,'gian lận'
cheek,/tʃiːk/,'má'
cheerful,/ˈtʃɪəfl/,'vui vẻ'
cheese,/tʃiːz/,'phô mai'
chef,/ʃef/,'đầu bếp'
chemistry,/ˈkemɪstri/,'hóa học'
child,/tʃaɪld/,'đứa trẻ'
childhood,/ˈtʃaɪldhʊd/,'thời thơ ấu'
chocolate,/ˈtʃɒklət/,'sô cô la'
choice,/tʃɔɪs/,'sự lựa chọn'
choose,/tʃuːz/,'chọn'
church,/tʃɜːtʃ/,'nhà thờ'
cigarette,/ˌsɪɡəˈret/,'điếu thuốc lá'
cinema,/ˈsɪnəmə/,'rạp chiếu phim'
circle,/ˈsɜːkl/,'vòng tròn'
circumstance,/ˈsɜːkəmstæns/,'hoàn cảnh'
cite,/saɪt/,'trích dẫn'
citizen,/ˈsɪtɪzn/,'công dân'
city,/ˈsɪti/,'thành phố'
civil,/ˈsɪvl/,'dân sự'
clap,/klæp/,'vỗ tay'
classic,/ˈklæsɪk/,'kinh điển'
classical,/ˈklæsɪkl/,'cổ điển'
classroom,/ˈklɑːsruːm/,'phòng học'
clause,/klɔːz/,'mệnh đề'
clearly,/ˈklɪəli/,'một cách rõ ràng'
clerk,/klɑːk/,'nhân viên bán hàng'
click,/klɪk/,'nhấp chuột'
climate,/ˈklaɪmət/,'khí hậu'
clock,/klɒk/,'đồng hồ'
closet,/ˈklɒzɪt/,'tủ quần áo'
cloth,/klɒθ/,'vải'
clothes,/kləʊðz/,'quần áo'
clothing,/ˈkləʊðɪŋ/,'quần áo'
cloud,/klaʊd/,'mây'
club,/klʌb/,'câu lạc bộ'
clue,/kluː/,'manh mối'
coal,/kəʊl/,'than đá'
coast,/kəʊst/,'bờ biển'
coat,/kəʊt/,'áo khoác'
code,/kəʊd/,'mã'
coffee,/ˈkɒfi/,'cà phê'
coin,/kɔɪn/,'đồng xu'
cold,/kəʊld/,'lạnh'
collapse,/kəˈlæps/,'sụp đổ'
collection,/kəˈlekʃn/,'bộ sưu tập'
college,/ˈkɒlɪdʒ/,'trường cao đẳng'
colour,/ˈkʌlər/,'màu sắc'
column,/ˈkɒləm/,'cột'
combination,/ˌkɒmbɪˈneɪʃn/,'sự kết hợp'
combine,/kəmˈbaɪn/,'kết hợp'
come,/kʌm/,'đến'
comedy,/ˈkɒmədi/,'hài kịch'
comfort,/ˈkʌmfət/,'sự thoải mái'
comfortable,/ˈkʌmfətəbl/,'thoải mái'
comment,/ˈkɒment/,'bình luận'
commercial,/kəˈmɜːʃl/,'thương mại'
commitment,/kəˈmɪtmənt/,'sự cam kết'
communication,/kəˌmjuːnɪˈkeɪʃn/,'sự giao tiếp'
community,/kəˈmjuːnəti/,'cộng đồng'
comparison,/kəmˈpærɪsn/,'sự so sánh'
compete,/kəmˈpiːt/,'cạnh tranh'
competitive,/kəmˈpetətɪv/,'có tính cạnh tranh'
complain,/kəmˈpleɪn/,'phàn nàn'
complaint,/kəmˈpleɪnt/,'lời phàn nàn'
completely,/kəmˈpliːtli/,'hoàn toàn'
complex,/ˈkɒmpleks/,'phức tạp'
complicate,/ˈkɒmplɪkeɪt/,'làm phức tạp'
component,/kəmˈpəʊnənt/,'thành phần'
computer,/kəmˈpjuːtər/,'máy tính'
concentrate,/ˈkɒnsntreɪt/,'tập trung'
concept,/ˈkɒnsept/,'khái niệm'
concerning,/kənˈsɜːnɪŋ/,'liên quan đến'
concert,/ˈkɒnsət/,'buổi hòa nhạc'
conclude,/kənˈkluːd/,'kết luận'
conclusion,/kənˈkluːʒn/,'kết luận'
condition,/kəˈnˈdɪʃn/,'điều kiện'
confidence,/ˈkɒnfɪdəns/,'sự tự tin'
confident,/ˈkɒnfɪdənt/,'tự tin'
conflict,/ˈkɒnflɪkt/,'xung đột'
confuse,/kənˈfjuːz/,'làm bối rối'
confusing,/kənˈfjuːzɪŋ/,'gây bối rối'
connect,/kəˈnekt/,'kết nối'
connection,/kəˈnekʃn/,'sự kết nối'
consequence,/ˈkɒnsɪkwəns/,'hậu quả'
conservative,/kənˈsɜːvətɪv/,'bảo thủ'
considerable,/kənˈsɪdərəbl/,'đáng kể'
consist,/kənˈsɪst/,'bao gồm'
consistent,/kənˈsɪstənt/,'nhất quán'
construct,/kənˈstrʌkt/,'xây dựng'
construction,/kənˈstrʌkʃn/,'sự xây dựng'
consumer,/kənˈsjuːmər/,'người tiêu dùng'
contact,/ˈkɒntækt/,'liên lạc'
contain,/kənˈteɪn/,'chứa đựng'
container,/kənˈteɪnər/,'vật chứa'
contemporary,/kənˈtemprəri/,'đương đại'
contest,/ˈkɒntest/,'cuộc thi'
context,/ˈkɒntekst/,'bối cảnh'
continue,/kənˈtɪnjuː/,'tiếp tục'
continuous,/kənˈtɪnjuəs/,'liên tục'
contrast,/ˈkɒntrɑːst/,'sự tương phản'
contribute,/kənˈtrɪbjuːt/,'đóng góp'
contribution,/ˌkɒntrɪˈbjuːʃn/,'sự đóng góp'
conversation,/ˌkɒnvəˈseɪʃn/,'cuộc trò chuyện'
convert,/kənˈvɜːt/,'chuyển đổi'
convince,/kənˈvɪns/,'thuyết phục'
cookie,/ˈkʊki/,'bánh quy'
cooking,/ˈkʊkɪŋ/,'việc nấu ăn'
core,/kɔːr/,'cốt lõi'
corner,/ˈkɔːnər/,'góc'
cottage,/ˈkɒtɪdʒ/,'nhà tranh'
cotton,/ˈkɒtn/,'bông (vải)'
cough,/kɒf/,'ho'
could,/kʊd/,'có thể (quá khứ)'
council,/ˈkaʊnsl/,'hội đồng'
count,/kaʊnt/,'đếm'
countryside,/ˈkʌntrisaɪd/,'nông thôn'
courage,/ˈkʌrɪdʒ/,'lòng dũng cảm'
cousin,/ˈkʌzn/,'anh/chị/em họ'
cow,/kaʊ/,'con bò cái'
crazy,/ˈkreɪzi/,'điên rồ'
cream,/kriːm/,'kem'
create,/kriˈeɪt/,'tạo ra'
creation,/kriˈeɪʃn/,'sự sáng tạo'
creative,/kriˈeɪtɪv/,'sáng tạo'
creature,/ˈkriːtʃər/,'sinh vật'
crime,/kraɪm/,'tội ác'
crisis,/ˈkraɪsɪs/,'khủng hoảng'
criterion,/kraɪˈtɪəriən/,'tiêu chí'
critic,/ˈkrɪtɪk/,'nhà phê bình'
criticism,/ˈkrɪtɪsɪzəm/,'sự phê bình'
criticize,/ˈkrɪtɪsaɪz/,'phê bình'
crop,/krɒp/,'vụ mùa'
crowd,/kraʊd/,'đám đông'
crowded,/ˈkraʊdɪd/,'đông đúc'
cruel,/ˈkruːəl/,'độc ác'
cry,/kraɪ/,'khóc'
cultural,/ˈkʌltʃərəl/,'thuộc văn hóa'
culture,/ˈkʌltʃər/,'văn hóa'
cup,/kʌp/,'cái cốc'
cupboard,/ˈkʌbəd/,'tủ chén'
cure,/kjʊər/,'chữa trị'
curious,/ˈkjʊəriəs/,'tò mò'
curly,/ˈkɜːli/,'xoăn'
currency,/ˈkʌrənsi/,'tiền tệ'
currently,/ˈkʌrəntli/,'hiện tại'
curtain,/ˈkɜːtn/,'rèm cửa'
curve,/kɜːv/,'đường cong'
